Area Type, Area, Area Name, Standard Occupational Code, Occupational Title, Employment,Mean Wage, Median Wage, Entry Wage, Experienced Wage                                                                                                                                                                                                                                             
10,1,Capital Region, 51-3022," Meat, Poultry, and Fish Cutters and Trimmers",90,32790,26840,24390,36980
10,1,Capital Region, 51-3091,"Food and Tobacco Roasting, Baking, and Drying Machine Operators and Tenders",130,35930,35420,26030,40880
10,1,Capital Region, 51-3092, Food Batchmakers,500,42730,43420,36120,46040
10,1,Capital Region, 51-3099," Food Processing Workers, All Other",n/a,31020,27220,24030,34510
10,1,Capital Region, 51-4011,"Computer-Controlled Machine Tool Operators, Metal and Plastic",150,36000,34570,26380,40810
10,1,Capital Region, 51-4012,"Computer Numerically Controlled Machine Tool Programmers, Metal and Plastic",n/a,56310,57440,47270,60820
10,1,Capital Region, 51-4021,"Extruding and Drawing Machine Setters, Operators, and Tenders, Metal and Plastic",n/a,44960,44340,35620,49620
10,1,Capital Region, 51-4031,"Cutting, Punching, and Press Machine Setters, Operators, and Tenders, Metal and Plastic",250,37180,36860,27770,41890
10,1,Capital Region, 51-4033,"Grinding, Lapping, Polishing, and Buffing Machine Tool Setters, Operators, and Tenders, Metal and Plastic",90,40090,37510,28290,45980
10,1,Capital Region, 51-4041, Machinists,1270,46540,43400,34270,52680
10,1,Capital Region, 51-4072,"Molding, Coremaking, and Casting Machine Setters, Operators, and Tenders, Metal and Plastic",140,33580,24850,23570,38580
10,1,Capital Region, 51-4081,"Multiple Machine Tool Setters, Operators, and Tenders, Metal and Plastic",260,38670,36670,28330,43830
10,1,Capital Region, 51-4111, Tool and Die Makers,60,55320,61460,34700,65620
10,1,Capital Region, 51-4121," Welders, Cutters, Solderers, and Brazers",540,50200,48550,34250,58170
10,1,Capital Region, 51-4122,"Welding, Soldering, and Brazing Machine Setters, Operators, and Tenders",n/a,35950,34580,30310,38760
10,1,Capital Region, 51-4193,"Plating and Coating Machine Setters, Operators, and Tenders, Metal and Plastic",n/a,34070,30100,27910,37150
10,1,Capital Region, 51-5111, Prepress Technician and Workers,150,42430,39390,29220,49040
10,1,Capital Region, 51-5112, Printing Press Operators,690,36830,33520,24440,43030
10,1,Capital Region, 51-5113, Print Binding and Finishing Workers,n/a,35350,35640,24740,40660
10,1,Capital Region, 51-6011, Laundry and Dry-Cleaning Workers,580,26430,25080,23620,27830
10,1,Capital Region, 51-6021," Pressers, Textile, Garment, and Related Materials",60,29490,28260,24390,32050
10,1,Capital Region, 51-6031, Sewing Machine Operators,190,32620,30120,23760,37050
10,1,Capital Region, 51-6052," Tailors, Dressmakers, and Custom Sewers",n/a,35710,36090,34950,36090
10,1,Capital Region, 51-7011, Cabinetmakers and Bench Carpenters,310,41880,40430,28980,48330
10,1,Capital Region, 51-7021, Furniture Finishers,n/a,45250,38410,33710,51020
10,1,Capital Region, 51-7041,"Sawing Machine Setters, Operators, and Tenders, Wood",70,36710,36040,28570,40780
10,1,Capital Region, 51-7042,"Woodworking Machine Setters, Operators, and Tenders, Except Sawing",n/a,33550,27090,23550,38550
10,1,Capital Region, 51-8013, Power Plant Operators,120,90750,94570,66390,102940
10,1,Capital Region, 51-8021, Stationary Engineers and Boiler Operators,350,56280,56500,43090,62870
10,1,Capital Region, 51-8031,Water and Wastewater Treatment Plant and System Operators,470,52240,51460,40280,58220
10,1,Capital Region, 51-8091, Chemical Plant and System Operators,360,56800,54630,41510,64450
10,1,Capital Region, 51-9011, Chemical Equipment Operators and Tenders,170,55000,55980,39260,62880
10,1,Capital Region, 51-9012,"Separating, Filtering, Clarifying, Precipitating, and Still Machine Setters, Operators, and Tenders",90,42700,39280,29410,49350
10,1,Capital Region, 51-9021,"Crushing, Grinding, and Polishing Machine Setters, Operators, and Tenders",160,41170,40120,30820,46350
10,1,Capital Region, 51-9022," Grinding and Polishing Workers, Hand",180,30540,29760,28160,31730
10,1,Capital Region, 51-9023,"Mixing and Blending Machine Setters, Operators, and Tenders",870,44110,41970,31010,50660
10,1,Capital Region, 51-9031," Cutters and Trimmers, Hand",n/a,30390,29740,26000,32580
10,1,Capital Region, 51-9032,"Cutting and Slicing Machine Setters, Operators, and Tenders",210,38940,37190,28190,44310
10,1,Capital Region, 51-9041,"Extruding, Forming, Pressing, and Compacting Machine Setters, Operators, and Tenders",490,50850,50070,42420,55070
10,1,Capital Region, 51-9051,"Furnace, Kiln, Oven, Drier, and Kettle Operators and Tenders",n/a,45890,48550,32260,52710
10,1,Capital Region, 51-9061,"Inspectors, Testers, Sorters, Samplers, and Weighers",1540,48180,47050,29330,57610
10,1,Capital Region, 51-9071, Jewelers and Precious Stone and Metal Workers,60,44030,37380,26560,52770
10,1,Capital Region, 51-9081, Dental Laboratory Technicians,50,40070,38130,26150,47030
10,1,Capital Region, 51-9083, Ophthalmic Laboratory Technicians,90,40490,39850,31800,44830
10,1,Capital Region, 51-9111,Packaging and Filling Machine Operators and Tenders,710,37650,34460,27280,42830
10,1,Capital Region, 51-9121,"Coating, Painting, and Spraying Machine Setters, Operators, and Tenders",170,41890,40610,32010,46830
10,1,Capital Region, 51-9122," Painters, Transportation Equipment",70,54350,52530,36900,63070
10,1,Capital Region, 51-9123," Painting, Coating, and Decorating Workers",n/a,31140,26430,24230,34590
10,1,Capital Region, 51-9151,Photographic Process Workers and Processing Machine Operators,n/a,41670,34760,24430,50290
10,1,Capital Region, 51-9192,"Cleaning, Washing, and Metal Pickling Equipment Operators and Tenders",n/a,39420,41030,29790,44240
10,1,Capital Region, 51-9195,"Molders, Shapers, and Casters, Except Metal and Plastic",60,31190,30180,25530,34020
10,1,Capital Region, 51-9196,"Paper Goods Machine Setters, Operators, and Tenders",630,46280,46640,36200,51320
10,1,Capital Region, 51-9198, Helpers--Production Workers,500,35210,31180,25240,40200
10,1,Capital Region, 51-9199," Production Workers, All Other",270,34030,25090,23760,39170
10,1,Capital Region, 53-0000,Transportation and Material Moving Occupations,28090,39620,37250,26010,46420
10,1,Capital Region, 53-1048,"First-line supervisors of transportation and material moving workers, except aircraft cargo handling supervisors?(OES-specific code and title)",1200,59100,57990,38960,69170
10,1,Capital Region, 53-2011," Airline Pilots, Copilots, and Flight Engineers",n/a,83530,94410,40930,104830
10,1,Capital Region, 53-2012, Commercial Pilots,n/a,73860,66520,59070,81260
10,1,Capital Region, 53-3022," Bus Drivers, School or Special Client",3580,41670,38150,26650,49170
10,1,Capital Region, 53-3031, Driver/Sales Workers,810,37330,39020,23910,44040
10,1,Capital Region, 53-3032, Heavy and Tractor-Trailer Truck Drivers,5340,46380,45400,35720,51710
10,1,Capital Region, 53-3033, Light Truck or Delivery Services Drivers,2420,37960,33920,25590,44150
10,1,Capital Region, 53-3041, Taxi Drivers and Chauffeurs,830,28970,27470,23640,31630
10,1,Capital Region, 53-3099," Motor Vehicle Operators, All Other",380,32850,27050,24150,37200
10,1,Capital Region, 53-5021,"Captains, Mates, and Pilots of Water Vessels",n/a,73840,58560,39120,91200
10,1,Capital Region, 53-6021, Parking Lot Attendants,770,26050,24790,23610,27270
10,1,Capital Region, 53-6031, Automotive and Watercraft Service Attendants,310,28010,26820,24220,29900
10,1,Capital Region, 53-6041, Traffic Technicians,100,60850,61200,43490,69530
10,1,Capital Region, 53-6051, Transportation Inspectors,70,86530,79380,57090,101240
10,1,Capital Region, 53-7011, Conveyor Operators and Tenders,n/a,37330,35580,27420,42280
10,1,Capital Region, 53-7032,Excavating and Loading Machine and Dragline Operators,200,53920,52300,37300,62220
10,1,Capital Region, 53-7051, Industrial Truck and Tractor Operators,1070,39540,40030,29980,44310
10,1,Capital Region, 53-7061, Cleaners of Vehicles and Equipment,930,30920,26270,24110,34320
10,1,Capital Region, 53-7062,"Laborers and Freight, Stock, and Material Movers, Hand",8330,35500,33230,25580,40470
10,1,Capital Region, 53-7063, Machine Feeders and Offbearers,70,38600,38150,30250,42770
10,1,Capital Region, 53-7064," Packers and Packagers, Hand",670,31710,28670,23640,35740
10,1,Capital Region, 53-7081, Refuse and Recyclable Material Collectors,330,39090,36980,28070,44600
10,2,Central New York Region, 00-0000,"Total, All Occupations",347450,51790,40060,25300,65040
10,2,Central New York Region, 11-0000,Management Occupations,14600,122560,105150,63670,152010
10,2,Central New York Region, 11-1011, Chief Executives,510,162790,155030,101130,193620
10,2,Central New York Region, 11-1021, General and Operations Managers,5270,124220,99190,56280,158190
10,2,Central New York Region, 11-1031, Legislators,480,89300,93360,78600,94660
10,2,Central New York Region, 11-2011, Advertising and Promotions Managers,50,122680,119240,69660,149190
10,2,Central New York Region, 11-2021, Marketing Managers,260,161230,140960,86490,198600
10,2,Central New York Region, 11-2022, Sales Managers,590,145030,135040,90150,172460
10,2,Central New York Region, 11-2031, Public Relations and Fundraising Managers,120,142650,125820,87790,170070
10,2,Central New York Region, 11-3011, Administrative Services Managers,410,113050,103660,73330,132910
10,2,Central New York Region, 11-3021, Computer and Information Systems Managers,540,147550,139080,104350,169150
10,2,Central New York Region, 11-3031,Financial Managers,760,145540,126810,91040,172800
10,2,Central New York Region, 11-3051, Industrial Production Managers,310,121310,117650,82060,140940
10,2,Central New York Region, 11-3061, Purchasing Managers,180,157240,117440,90400,190660
10,2,Central New York Region, 11-3071,"Transportation, Storage, and Distribution Managers",170,107840,103320,72110,125710
10,2,Central New York Region, 11-3111, Compensation and Benefits Managers,n/a,162140,145890,85640,200390
10,2,Central New York Region, 11-3121, Human Resources Managers,230,127540,120140,77230,152690
10,2,Central New York Region, 11-3131, Training and Development Managers,80,147800,138620,88560,177420
10,2,Central New York Region, 11-9021, Construction Managers,460,109730,87850,69890,129640
10,2,Central New York Region, 11-9031,"Education Administrators, Preschool and Childcare Center/Program",80,57040,45960,33960,68580
10,2,Central New York Region, 11-9032,"Education Administrators, Elementary and Secondary School",570,102180,101320,80700,112920
10,2,Central New York Region, 11-9033," Education Administrators, Postsecondary",490,135730,118420,78950,164120
10,2,Central New York Region, 11-9039," Education Administrators, All Other",60,83900,76920,50860,100430
10,2,Central New York Region, 11-9041, Architectural and Engineering Managers,490,149330,143300,109450,169270
10,2,Central New York Region, 11-9051,Food Service Managers,390,68520,60470,45300,80130
10,2,Central New York Region, 11-9081,Lodging Managers,n/a,82820,62390,56990,95740
10,2,Central New York Region, 11-9111, Medical and Health Services Managers,710,120730,101340,75180,143500
10,2,Central New York Region, 11-9121, Natural Sciences Managers,50,133960,120250,94340,153770
10,2,Central New York Region, 11-9131,Postmasters and Mail Superintendents,60,78830,76830,68080,84200
10,2,Central New York Region, 11-9141,"Property, Real Estate, and Community Association Managers",60,100680,81690,57380,122320
10,2,Central New York Region, 11-9151, Social and Community Service Managers,510,69430,63090,46690,80810
10,2,Central New York Region, 11-9161, Emergency Management Directors,n/a,86800,86310,51990,104200
10,2,Central New York Region, 11-9199," Managers, All Other",590,103950,92300,47630,132110
10,2,Central New York Region, 13-0000,Business and Financial Operations Occupations,14580,72110,65260,43290,86520
10,2,Central New York Region, 13-1020,Buyers and Purchasing Agents,940,72390,64930,41580,87790
10,2,Central New York Region, 13-1031," Claims Adjusters, Examiners, and Investigators",1100,68160,67600,44020,80240
10,2,Central New York Region, 13-1032," Insurance Appraisers, Auto Damage",60,83200,73250,57550,96020
10,2,Central New York Region, 13-1041, Compliance Officers,730,65420,60930,43360,76450
10,2,Central New York Region, 13-1051, Cost Estimators,390,69970,66500,48480,80710
10,2,Central New York Region, 13-1071, Human Resources Specialists,1120,65710,62210,43010,77060
10,2,Central New York Region, 13-1075, Labor Relations Specialists,n/a,60240,53390,45380,67670
10,2,Central New York Region, 13-1081, Logisticians,140,74490,72750,48400,87540
10,2,Central New York Region, 13-1111, Management Analysts,790,96490,78990,54940,117260
10,2,Central New York Region, 13-1121," Meeting, Convention, and Event Planners",190,49370,47340,34170,56960
10,2,Central New York Region, 13-1131, Fundraisers,290,57970,53040,37810,68050
10,2,Central New York Region, 13-1141,"Compensation, Benefits, and Job Analysis Specialists",250,70340,69790,48620,81210
10,2,Central New York Region, 13-1151, Training and Development Specialists,980,68090,61700,40850,81720
10,2,Central New York Region, 13-1161,Market Research Analysts and Marketing Specialists,1240,67040,60900,38730,81200
10,2,Central New York Region, 13-1199," Business Operations Specialists, All Other",1230,77600,70730,45700,93550
10,2,Central New York Region, 13-2011, Accountants and Auditors,2430,72570,67520,46580,85570
10,2,Central New York Region, 13-2021, Appraisers and Assessors of Real Estate,160,57420,57660,39400,66430
10,2,Central New York Region, 13-2031, Budget Analysts,130,75420,64110,53110,86570
10,2,Central New York Region, 13-2041, Credit Analysts,120,71270,64860,42550,85630
10,2,Central New York Region, 13-2051, Financial Analysts,440,86110,76010,54220,102050
10,2,Central New York Region, 13-2052, Personal Financial Advisors,350,78740,60600,37090,99560
10,2,Central New York Region, 13-2053, Insurance Underwriters,250,84670,83810,57230,98390
10,2,Central New York Region, 13-2061, Financial Examiners,110,85540,77290,51230,102700
10,2,Central New York Region, 13-2071, Credit Counselors,100,48370,43790,36260,54430
10,2,Central New York Region, 13-2072, Loan Officers,480,82210,59970,37940,104350
10,2,Central New York Region, 13-2081," Tax Examiners and Collectors, and Revenue Agents",120,71320,72290,46880,83530
10,2,Central New York Region, 13-2082,Tax Preparers,110,53420,52980,29580,65330
10,2,Central New York Region, 13-2099," Financial Specialists, All Other",50,70390,69510,44270,83450
10,2,Central New York Region, 15-0000,Computer and Mathematical Occupations,7450,83550,79590,50420,100120
10,2,Central New York Region, 15-1111, Computer and Information Research Scientists,n/a,123680,115860,86720,142150
10,2,Central New York Region, 15-1121, Computer Systems Analysts,670,84970,80000,58150,98370
10,2,Central New York Region, 15-1122, Information Security Analysts,110,84160,79440,61460,95510
10,2,Central New York Region, 15-1131, Computer Programmers,760,84420,88150,58950,97150
10,2,Central New York Region, 15-1132," Software Developers, Applications",1210,90670,88720,63080,104470
10,2,Central New York Region, 15-1133," Software Developers, Systems Software",970,112350,109540,74830,131120
10,2,Central New York Region, 15-1134, Web Developers,250,65860,62360,43450,77070
10,2,Central New York Region, 15-1141, Database Administrators,120,85720,84060,55270,100940
10,2,Central New York Region, 15-1142, Network and Computer Systems Administrators,660,81350,80590,55500,94280
10,2,Central New York Region, 15-1143, Computer Network Architects,420,99270,94530,62080,117870
10,2,Central New York Region, 15-1151, Computer User Support Specialists,1510,57820,56670,37600,67920
10,2,Central New York Region, 15-1152, Computer Network Support Specialists,370,65750,59010,38330,79470
10,2,Central New York Region, 15-1199," Computer Occupations, All Other",200,100240,93370,66810,116960
10,2,Central New York Region, 15-2031, Operations Research Analysts,110,88440,82180,60230,102550
10,2,Central New York Region, 15-2041, Statisticians,n/a,75570,76100,60110,83300
10,2,Central New York Region, 17-0000,Architecture and Engineering Occupations,6710,82840,78820,52530,98000
10,2,Central New York Region, 17-1011," Architects, Except Landscape and Naval",260,86240,83100,56750,100980
10,2,Central New York Region, 17-1012, Landscape Architects,50,76940,76470,58840,85980
10,2,Central New York Region, 17-1021, Cartographers and Photogrammetrists,n/a,69270,67100,58910,74440
10,2,Central New York Region, 17-1022, Surveyors,70,67200,61530,52020,74800
10,2,Central New York Region, 17-2041,Chemical Engineers,n/a,112340,99920,88220,124400
10,2,Central New York Region, 17-2051, Civil Engineers,820,93570,87340,64690,108010
10,2,Central New York Region, 17-2061, Computer Hardware Engineers,90,115110,117900,70280,137520
10,2,Central New York Region, 17-2071, Electrical Engineers,690,92610,87090,65140,106350
10,2,Central New York Region, 17-2072," Electronics Engineers, Except Computer",260,94990,91730,67520,108730
10,2,Central New York Region, 17-2081, Environmental Engineers,350,84710,79960,59240,97440
10,2,Central New York Region, 17-2111,"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors",90,87320,80230,65830,98070
10,2,Central New York Region, 17-2112, Industrial Engineers,1050,87950,84200,66060,98900
10,2,Central New York Region, 17-2131, Materials Engineers,n/a,97300,103710,70030,110930
10,2,Central New York Region, 17-2141, Mechanical Engineers,780,87740,87280,64510,99360
10,2,Central New York Region, 17-2199," Engineers, All Other",290,108600,107530,79860,122970
10,2,Central New York Region, 17-3011, Architectural and Civil Drafters,270,57790,57620,40020,66670
10,2,Central New York Region, 17-3012, Electrical and Electronics Drafters,90,63010,61190,45190,71920
10,2,Central New York Region, 17-3013, Mechanical Drafters,180,57410,54780,41710,65250
10,2,Central New York Region, 17-3019," Drafters, All Other",50,48180,43340,34490,55020
10,2,Central New York Region, 17-3022, Civil Engineering Technicians,80,59820,59910,46240,66610
10,2,Central New York Region, 17-3023, Electrical and Electronic Engineering Technicians,450,58280,57330,37980,68430
10,2,Central New York Region, 17-3024, Electro-Mechanical Technicians,n/a,72690,76010,45650,86210
10,2,Central New York Region, 17-3025, Environmental Engineering Technicians,90,54900,55650,38410,63150
10,2,Central New York Region, 17-3026, Industrial Engineering Technicians,120,59260,57940,43420,67190
10,2,Central New York Region, 17-3027, Mechanical Engineering Technicians,90,56300,52280,40180,64370
10,2,Central New York Region, 17-3029,"Engineering Technicians, Except Drafters, All Other",90,51150,51400,34720,59360
10,2,Central New York Region, 17-3031, Surveying and Mapping Technicians,150,45560,43570,31360,52660
10,2,Central New York Region, 19-0000,"Life, Physical, and Social Science Occupations",2560,62710,58800,32690,77720
10,2,Central New York Region, 19-1029," Biological Scientists, All Other",n/a,75010,84610,50150,87430
10,2,Central New York Region, 19-1031, Conservation Scientists,n/a,71270,65110,52530,80640
10,2,Central New York Region, 19-1032, Foresters,n/a,74970,66930,58250,83330
10,2,Central New York Region, 19-2021, Atmospheric and Space Scientists,n/a,74380,57630,41850,90650
10,2,Central New York Region, 19-2031, Chemists,110,77320,72120,48640,91660
10,2,Central New York Region, 19-2041,"Environmental Scientists and Specialists, Including Health",200,74420,72650,53130,85060
10,2,Central New York Region, 19-2042,"Geoscientists, Except Hydrologists and Geographers",60,81850,78140,54090,95730
10,2,Central New York Region, 19-3031," Clinical, Counseling, and School Psychologists",430,81860,78940,59610,92990
10,2,Central New York Region, 19-3051, Urban and Regional Planners,n/a,69470,64550,48870,79770
10,2,Central New York Region, 19-3093, Historians,n/a,32580,29690,26550,35600
10,2,Central New York Region, 19-3099," Social Scientists and Related Workers, All Other",50,70150,68520,46560,81940
10,2,Central New York Region, 19-4011, Agricultural and Food Science Technicians,n/a,40850,42090,33680,44430
10,2,Central New York Region, 19-4021, Biological Technicians,120,42520,41030,29120,49220
10,2,Central New York Region, 19-4061, Social Science Research Assistants,n/a,41710,40620,25790,49680
10,2,Central New York Region, 19-4091,"Environmental Science and Protection Technicians, Including Health",230,36830,33680,27510,41480
10,2,Central New York Region, 19-4093, Forest and Conservation Technicians,n/a,45750,41650,30140,53560
10,2,Central New York Region, 21-0000,Community and Social Service Occupations,7800,48860,45620,29900,58340
10,2,Central New York Region, 21-1012,"Educational, Guidance, School, and Vocational Counselors",1200,60510,60840,38610,71450
10,2,Central New York Region, 21-1013, Marriage and Family Therapists,n/a,44630,44610,35920,48980
10,2,Central New York Region, 21-1015, Rehabilitation Counselors,100,43300,37120,25820,52050
10,2,Central New York Region, 21-1018,"Substance abuse, behavioral disorder, and mental health counselors?(OES-specific code and title)",630,44520,41970,32610,50480
10,2,Central New York Region, 21-1019," Counselors, All Other",n/a,52720,53400,34330,61910
10,2,Central New York Region, 21-1021," Child, Family, and School Social Workers",930,51170,50990,33800,59850
10,2,Central New York Region, 21-1022, Healthcare Social Workers,360,51680,49300,39200,57920
10,2,Central New York Region, 21-1023, Mental Health and Substance Abuse Social Workers,440,60380,59070,41650,69750
10,2,Central New York Region, 21-1029,"Social Workers, All Other",260,62020,62290,46720,69660
10,2,Central New York Region, 21-1091, Health Educators,260,58220,55150,36560,69050
10,2,Central New York Region, 21-1092,Probation Officers and Correctional Treatment Specialists,290,67570,64710,53080,74820
10,2,Central New York Region, 21-1093, Social and Human Service Assistants,2060,34470,31550,26840,38290
10,2,Central New York Region, 21-1094, Community Health Workers,240,41110,38440,30600,46360
10,2,Central New York Region, 21-1099,"Community and Social Service Specialists, All Other",440,55900,53800,35780,65950
10,2,Central New York Region, 21-2011, Clergy,370,46400,41970,25050,57080
10,2,Central New York Region, 21-2021," Directors, Religious Activities and Education",130,46940,46210,27750,56530
10,2,Central New York Region, 21-2099," Religious Workers, All Other",n/a,27430,23088,23088,30130
10,2,Central New York Region, 23-0000,Legal Occupations,2280,89850,75350,44960,112300
10,2,Central New York Region, 23-1011, Lawyers,1340,98030,87150,53150,120470
10,2,Central New York Region, 23-1021,"Administrative Law Judges, Adjudicators, and Hearing Officers",n/a,109840,102080,83350,123090
10,2,Central New York Region, 23-1023," Judges, Magistrate Judges, and Magistrates",210,152610,156300,131450,163190
10,2,Central New York Region, 23-2011, Paralegals and Legal Assistants,520,49120,49100,34340,56510
10,2,Central New York Region, 23-2091, Court Reporters,n/a,84540,79960,61490,96060
10,2,Central New York Region, 23-2093," Title Examiners, Abstractors, and Searchers",n/a,48610,42950,28990,58420
10,2,Central New York Region, 23-2099," Legal Support Workers, All Other",50,70080,58900,44630,82810
10,2,Central New York Region, 25-0000,"Education, Training, and Library Occupations",30270,62480,57070,29120,79160
10,2,Central New York Region, 25-1011," Business Teachers, Postsecondary",470,105390,91520,50080,133040
10,2,Central New York Region, 25-1021," Computer Science Teachers, Postsecondary",210,81040,68940,42900,100110
10,2,Central New York Region, 25-1022," Mathematical Science Teachers, Postsecondary",250,94380,80270,49000,117060
10,2,Central New York Region, 25-1031," Architecture Teachers, Postsecondary",n/a,86930,79660,52080,104350
10,2,Central New York Region, 25-1032," Engineering Teachers, Postsecondary",n/a,105210,97020,58220,128710
10,2,Central New York Region, 25-1042," Biological Science Teachers, Postsecondary",200,89230,74490,48280,109700
10,2,Central New York Region, 25-1051,"Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary",140,111690,99240,64690,135190
10,2,Central New York Region, 25-1052," Chemistry Teachers, Postsecondary",150,83220,77120,48110,100780
10,2,Central New York Region, 25-1053," Environmental Science Teachers, Postsecondary",80,61510,60570,51860,66330
10,2,Central New York Region, 25-1054," Physics Teachers, Postsecondary",110,98530,93390,58810,118400
10,2,Central New York Region, 25-1061,"Anthropology and Archeology Teachers, Postsecondary",60,96310,85650,54620,117160
10,2,Central New York Region, 25-1062,"Area, Ethnic, and Cultural Studies Teachers, Postsecondary",110,82370,72590,47840,99640
10,2,Central New York Region, 25-1063," Economics Teachers, Postsecondary",120,115120,95530,60480,142440
10,2,Central New York Region, 25-1064," Geography Teachers, Postsecondary",n/a,90720,80360,51960,110100
10,2,Central New York Region, 25-1065," Political Science Teachers, Postsecondary",130,107890,95550,55070,134300
10,2,Central New York Region, 25-1066," Psychology Teachers, Postsecondary",190,88420,77250,53980,105650
10,2,Central New York Region, 25-1067," Sociology Teachers, Postsecondary",100,81310,78790,46940,98500
10,2,Central New York Region, 25-1069,"Social Sciences Teachers, Postsecondary, All Other",60,76530,67160,39530,95030
10,2,Central New York Region, 25-1071," Health Specialties Teachers, Postsecondary",n/a,120660,84990,53850,154060
10,2,Central New York Region, 25-1072," Nursing Instructors and Teachers, Postsecondary",230,83880,79720,54550,98550
10,2,Central New York Region, 25-1081," Education Teachers, Postsecondary",330,72380,67470,36940,90100
10,2,Central New York Region, 25-1111,"Criminal Justice and Law Enforcement Teachers, Postsecondary",n/a,59420,55440,43000,67630
10,2,Central New York Region, 25-1113," Social Work Teachers, Postsecondary",n/a,91910,80750,39010,118360
10,2,Central New York Region, 25-1121," Art, Drama, and Music Teachers, Postsecondary",620,79390,67720,42460,97850
10,2,Central New York Region, 25-1123,"English Language and Literature Teachers, Postsecondary",510,77220,66260,45400,93120
10,2,Central New York Region, 25-1124,"Foreign Language and Literature Teachers, Postsecondary",190,69940,58560,38810,85500
10,2,Central New York Region, 25-1125," History Teachers, Postsecondary",130,79480,74570,46270,96080
10,2,Central New York Region, 25-1126," Philosophy and Religion Teachers, Postsecondary",110,86150,78120,51830,103310
10,2,Central New York Region, 25-1191, Graduate Teaching Assistants,790,39180,36360,23640,46950
10,2,Central New York Region, 25-1193,"Recreation and Fitness Studies Teachers, Postsecondary",240,52850,49380,35810,61370
10,2,Central New York Region, 25-1194," Vocational Education Teachers, Postsecondary",230,57980,53250,39070,67430
10,2,Central New York Region, 25-1199,"Postsecondary Teachers, All Other",200,90750,81760,44450,113900
10,2,Central New York Region, 25-2011," Preschool Teachers, Except Special Education",960,32340,28270,23660,36680
10,2,Central New York Region, 25-2012," Kindergarten Teachers, Except Special Education",260,64770,66140,43360,75470
10,2,Central New York Region, 25-2021,"Elementary School Teachers, Except Special Education",3140,67610,65880,52570,75130
10,2,Central New York Region, 25-2022,"Middle School Teachers, Except Special and Career/Technical Education",1840,71090,67590,54900,79190
10,2,Central New York Region, 25-2023,"Career/Technical  Education Teachers, Middle School",110,76920,75880,63370,83700
10,2,Central New York Region, 25-2031,"Secondary School Teachers, Except Special and Career/Technical Education",3020,74410,71850,50740,86240
10,2,Central New York Region, 25-2032,"Career/Technical Education Teachers, Secondary School",290,78080,75760,58350,87950
10,2,Central New York Region, 25-2051," Special Education Teachers, Preschool",140,70730,69550,43760,84210
10,2,Central New York Region, 25-2052,"Special Education Teachers, Kindergarten and Elementary School",540,68950,68930,53270,76790
10,2,Central New York Region, 25-2053," Special Education Teachers, Middle School",280,72360,67840,52430,82320
10,2,Central New York Region, 25-2054," Special Education Teachers, Secondary School",570,73110,69850,55850,81740
10,2,Central New York Region, 25-2059," Special Education Teachers, All Other",n/a,54390,50770,44030,59570
10,2,Central New York Region, 25-3011,Adult Basic and Secondary Education and Literacy Teachers and Instructors,480,72150,67190,48590,83940
10,2,Central New York Region, 25-3021, Self-Enrichment Education Teachers,580,53640,39960,24600,68170
10,2,Central New York Region, 25-3097,"Teachers and Instructors, All Other, Except Substitute Teachers",270,53080,54240,32720,63260
10,2,Central New York Region, 25-3098,Substitute teachers,2320,34780,31730,23730,40300
10,2,Central New York Region, 25-4012, Curators,n/a,52000,49290,28420,63790
10,2,Central New York Region, 25-4013, Museum Technicians and Conservators,50,36480,34720,23088,43440
10,2,Central New York Region, 25-4021, Librarians,560,63300,62650,45650,72130
10,2,Central New York Region, 25-4031, Library Technicians,370,31030,25740,23088,35010
10,2,Central New York Region, 25-9031, Instructional Coordinators,590,64050,61110,50070,71040
10,2,Central New York Region, 25-9041, Teacher Assistants,5430,30540,28060,23090,34260
10,2,Central New York Region, 25-9099,"Education, Training, and Library Workers, All Other",n/a,43080,40180,31060,49100
10,2,Central New York Region, 27-0000,"Arts, Design, Entertainment, Sports, and Media Occupations",4070,54890,46190,28080,68290
10,2,Central New York Region, 27-1011, Art Directors,70,73680,61070,50120,85470
10,2,Central New York Region, 27-1014, Multimedia Artists and Animators,n/a,45700,38670,36950,50070
10,2,Central New York Region, 27-1021, Commercial and Industrial Designers,90,68620,68570,49420,78220
10,2,Central New York Region, 27-1023, Floral Designers,90,32920,32990,25600,36570
10,2,Central New York Region, 27-1024, Graphic Designers,560,51070,45120,32250,60480
10,2,Central New York Region, 27-1025, Interior Designers,n/a,74540,71670,50210,86710
10,2,Central New York Region, 27-1026, Merchandise Displayers and Window Trimmers,190,36890,31790,23810,43430
10,2,Central New York Region, 27-1027, Set and Exhibit Designers,n/a,31740,26200,23088,36190
10,2,Central New York Region, 27-2012, Producers and Directors,200,53440,43920,31810,64250
10,2,Central New York Region, 27-2021, Athletes and Sports Competitors,n/a,37120,35410,23220,44060
10,2,Central New York Region, 27-2022, Coaches and Scouts,700,63210,48530,30530,79550
10,2,Central New York Region, 27-2041, Music Directors and Composers,90,48230,51060,23240,60720
10,2,Central New York Region, 27-3012, Public Address System and Other Announcers,n/a,70730,66740,33150,89530
10,2,Central New York Region, 27-3022, Reporters and Correspondents,50,53550,45970,29620,65510
10,2,Central New York Region, 27-3031, Public Relations Specialists,480,56720,52630,38050,66050
